S.no,District,Regional Office,Monitoring date,Water_Temp,DO,pH,BOD,Turbidity,TA,Chloride ,COD,Magnesium,Sulphate ,TDS,Fluoride
1,Srikakulam,Srikakulam,04.01.2021,24,8.4,8.28,1.4,1.17,148,44,5.2,80,9.4,252,0.46
2,Srikakulam,Srikakulam,04.01.2021,24,6.4,8.1,1.9,2.51,148,68.4,7.6,80,1.2,280,0.32
3,Srikakulam,Srikakulam,04.01.2021,22,6.5,7.47,2,7.85,120,24.4,8.4,48,4.4,184,0.61
5,Srikakulam,Srikakulam,04.01.2021,25,7.5,7.54,2,12.6,120,34.2,7.2,64,4.4,204,0.59
6,Srikakulam,Srikakulam,04.01.2021,22,8,8.05,1.5,1.18,148,141.8,13.6,60,48.2,520,1.01
7,Srikakulam,Srikakulam,04.01.2021,22,8,7.49,1.8,2.28,152,107.6,13.2,92,9.7,380,1.04
8,Srikakulam,Srikakulam,04.01.2021,22,6,7.52,1.8,3.21,240,5430,12.4,1728,1354,12880,1.4
9,Vizianagaram,Vizianagaram,07.01.2021,23,5.9,7.52,1.9,1.9,120,24.4,5.6,60,8.4,192,0.46
10,Vizianagaram,Vizianagaram,07.01.2021,24,6,7.86,1.3,1.52,132,34.2,5.2,60,13.6,236,0.52
12,Vizianagaram,Vizianagaram,07.01.2021,25,7,7.22,1.2,1.63,120,29.3,9.6,60,5,188,0.47
13,Vizianagaram,Vizianagaram,07.01.2021,26,5.9,7.65,1.9,2,132,281,18.8,108,43,744,0.24
14,Visakhapatnam,Visakhapatnam,08.01.2021,26,5.4,7.75,2,7.49,136,141.8,12.8,60,3,424,1.31
15,Visakhapatnam,Visakhapatnam,10.01.2021,26,6.4,7.96,1.9,1.23,120,34.2,6.4,68,19,236,1.12
17,East Godavari,Kakinada,06.01.2021,24,7.2,7.25,2,1.76,124,29.3,5.2,48,8.6,208,0.38
18,East Godavari,Kakinada,06.01.2021,22,3,7.48,2,29.1,144,48.9,9.2,80,11.3,256,0.33
19,East Godavari,Kakinada,04.01.2021,24,1.8,7.11,3.8,5.9,200,440.2,15.2,148,61,1216,1.04
20,East Godavari,Kakinada,06.01.2021,22,8.4,7.69,1.4,5.97,128,34.2,6,60,12.3,220,0.37
21,East Godavari,Kakinada,06.01.2021,25,7.5,7.05,1.8,7.7,120,58.7,7.6,68,12.72,252,0.61
22,East Godavari,Kakinada,04.01.2021,26,1.5,7.56,3.6,7.42,172,317.98,14,164,52.8,860,0.34
23,East Godavari,Kakinada,06.01.2021,24,6,7.13,1.6,2.53,120,48.9,6,60,9.3,232,0.77
24,East Godavari,Kakinada,04.01.2021,25,5.4,7.57,2.4,58,140,9392.6,12.2,2580,369,17392,1.33
