,S.No.,Station_name,District/RO,Monitoring_date,pH,TA,Cl,Ca,Mg,Sulphate,Na,TDS,K,F,wqi,quality
0,1,"Upstream of river Krishna at Prakasam
barrage","Krishna /
Vijayawada",19.11.2018,8.49,164.0,119.0,40.0,22.0,78.0,88.0,520.0,4.8,0.34,41.26871762805482,Good
1,2,Upstream of Pennar river at Somasila,"Nellore /
Nellore",05.11.2018,8.62,150.0,125.0,40.0,39.0,48.0,43.0,420.0,4.0,0.64,65.91817466520764,Poor
2,3,"Puligadda aqueduct near Avanigadda
(V)","Krishna /
Vijayawada",12.11.2018,7.86,176.0,12300.0,98.0,791.0,1260.0,6500.0,20300.0,143.0,0.92,221.58641029649314,Not suitable
3,4,River Krishna at Amaravathi,"Krishna /
Vijayawada",08.11.2018,8.47,130.0,78.0,40.0,11.0,36.0,42.0,300.0,4.0,0.26,33.63648168412277,Good
4,5,"Downstream of Krishna river at
Vedadri","Krishna /
Vijayawada",19.11.2018,8.4,206.0,122.0,54.0,27.0,52.0,67.0,470.0,6.8,0.74,74.05764003960189,Poor
5,6,"2nd Causeway, Pulicot lake","Nellore /
Nellore",04.11.2018,7.32,160.0,9200.0,396.0,997.0,6800.0,6740.0,26000.0,102.0,0.83,204.50476785993436,Not suitable
6,7,"Budameru canal near BDG at NH-5,
Keesarapalli","Krishna /
Vijayawada",01.11.2018,8.4,210.0,118.0,50.0,21.0,20.0,58.0,428.0,3.82,0.5,52.95649523214007,Poor
7,8,"Guntatippa drain B/C with Ryves canal
at Ramavarapadu, Vijayawada","Krishna /
Vijayawada",01.11.2018,7.42,480.0,288.0,80.0,43.0,102.0,195.0,1140.0,26.0,1.18,115.8078656661977,Not suitable
8,9,"Downstream of Paleru river at
Jaggaiahpet","Krishna/
Vijayawada",19.11.2018,8.5,292.0,103.0,67.0,35.0,72.0,58.0,560.0,5.2,0.63,65.6501849825439,Poor
9,10,"Downstream of Munneru river at
Keesara","Krishna/
Vijayawada",19.11.2018,8.45,274.0,38.0,40.0,29.0,70.0,84.0,520.0,7.84,0.72,73.31810431973321,Poor
