S_no,Tahsil/Taluk,Village,Latitude,Longitude,Date_of_collection,TDS,Nitrates,Ca,Mg,Na,K,Cl,SO4,F,pH,wqi,quality
0,Gudiyatham,Gudiyatham,"12°56'40""","78°52'10""",01-06-1981,384.519457,13.17692308,52,37,143,5.964226244,170,121.0057919,0.626930769,8,62.01655321,Poor
1,Katpadi,Arumparuthi,"12°58'05""","79°12'25""",01-06-1981,384.519457,13.17692308,58.75113122,78,186.7503982,5.964226244,189.0329095,121.0057919,0.626930769,7.4,60.68461358,Poor
2,Arakkonam,Nehru Nagar,"13°06'17""","79°29'45""",01-06-1981,384.519457,13.17692308,184,73,239,5.964226244,189.0329095,121.0057919,0.626930769,7.4,62.25859723,Poor
3,Gudiyatham,Pallalakuppam,"12°53'20""","78°46'00""",01-06-1981,384.519457,13.17692308,58,21,60,5.964226244,39,121.0057919,0.626930769,8.1,61.55555279,Poor
4,Gudiyatham,Kallapadi,"12°59'45""","78°54'40""",01-06-1981,384.519457,13.17692308,40,38,115,5.964226244,46,121.0057919,0.626930769,8,61.69376249,Poor
5,Gudiyatham,Modikuppam,"13°01'50""","78°10'48""",01-06-1981,384.519457,13.17692308,50,34,127,5.964226244,121,121.0057919,0.626930769,7.9,61.13133937,Poor
6,Vellore,P.S. Mangalam,"12°55'05""","79°03'00""",01-06-1981,384.519457,13.17692308,124,86,265,5.964226244,482,121.0057919,0.626930769,7.4,62.51814721,Poor
7,Walajahpet,Sholinghur,"13°06'25""","79°25'25""",01-06-1981,384.519457,13.17692308,102,22,122,5.964226244,152,121.0057919,0.626930769,7.7,60.03707339,Poor
8,Walajahpet,Ammur,"12°57'30""","79°17'00""",01-06-1981,384.519457,13.17692308,66,22,92,5.964226244,64,121.0057919,0.626930769,7.6,58.76158315,Poor
9,Arcot,Damaraipakkam,"12°45'25""","79°18'35""",01-06-1981,384.519457,13.17692308,66,38,74,5.964226244,121,121.0057919,0.626930769,8.2,63.28673131,Poor
10,Walajahpet,Ayilam,"12°52'35""","79°15'45""",01-06-1981,384.519457,13.17692308,106,32,28,5.964226244,50,121.0057919,0.626930769,7.9,61.52105412,Poor
11,Arcot,Varagur,"12°48'40""","79°14'15""",01-06-1981,384.519457,13.17692308,76,41,131,5.964226244,89,121.0057919,0.626930769,7.9,61.82168084,Poor
12,Walajahpet,Lalapet,"12°58'00""","79°03'00""",01-07-1981,384.519457,13.17692308,58.75113122,92,281,5.964226244,189.0329095,121.0057919,0.626930769,7.6,62.81358954,Poor
13,Arakkonam,Sendamangalam,"12°29'00""","78°34'20""",01-07-1981,384.519457,13.17692308,74,7,113,5.964226244,110,121.0057919,0.626930769,7.6,58.19256903,Poor
14,Vellore,Guruvarajapalayam,"12°47'35""","78°53'00""",01-07-1981,484,13.17692308,64,51,53,5.964226244,53,121.0057919,0.626930769,7.5,59.56894069,Poor
15,Vellore,Perumugai,"12°56'33""","79°11'49""",01-07-1981,384.519457,13.17692308,46,23,62,5.964226244,78,121.0057919,0.626930769,8,60.93580572,Poor
16,Vellore,Karadikudi,"12°50'38""","78°55'49""",01-07-1981,384.519457,13.17692308,50,57,193,5.964226244,174,121.0057919,0.626930769,8.4,65.56779496,Poor
17,Vellore,Pinnathurai,"12°46'43""","78°56'11""",01-07-1981,384.519457,13.17692308,64,40,127,5.964226244,82,121.0057919,0.626930769,7.8,60.97749416,Poor
18,Vellore,Thuthikadu,"12°47'26""","79°05'09""",01-07-1981,384.519457,13.17692308,64,57,51,5.964226244,57,121.0057919,0.626930769,7.6,60.46010555,Poor
19,Vellore,Vallam,"12°45'15""","79°09'18""",01-07-1981,384.519457,13.17692308,66,90,145,5.964226244,238,121.0057919,0.626930769,7.7,63.21658269,Poor
20,Vellore,Asanampattu,"12°42'17""","78°48'58""",01-07-1981,530,13.17692308,58,71,60,5.964226244,60,121.0057919,0.626930769,7.7,61.7794252,Poor
21,Katpadi,Ponnai,"13°07'50""","79°15'35""",01-07-1981,384.519457,13.17692308,160,85,248,5.964226244,189.0329095,121.0057919,0.626930769,7.3,61.95648223,Poor
22,Walajahpet,Thalangai,"12°59'40""","79°25'28""",01-07-1981,384.519457,13.17692308,100,39,92,5.964226244,156,121.0057919,0.626930769,7.5,59.617552,Poor
23,Walajahpet,Sumaithangi,"12°54'10""","79°26'30""",01-07-1981,384.519457,13.17692308,58.75113122,85,221,5.964226244,189.0329095,121.0057919,0.626930769,7.3,60.50417295,Poor
24,Arakkonam,Mosur,"13°05'02""","79°43'10""",01-07-1981,384.519457,13.17692308,106,39,246,5.964226244,390,121.0057919,0.626930769,7.6,60.90102647,Poor
25,Arakkonam,Poyapakkam,"13°02'23""","79°40'06""",01-07-1981,384.519457,13.17692308,64,15,133,5.964226244,96,121.0057919,0.626930769,7.7,59.10049124,Poor
26,Arakkonam,Vellorepet,"13°08'56""","79°42'17""",01-07-1981,384.519457,13.17692308,38,17,166,5.964226244,60,121.0057919,0.626930769,8.3,62.52377347,Poor
27,Arakkonam,Amirpet,"13°08'29""","79°36'40""",01-07-1981,384.519457,13.17692308,54,33,62,5.964226244,106,121.0057919,0.626930769,8.3,63.4295507,Poor
28,Arakkonam,Narayanamangalam,"13°11'19""","79°39'18""",01-07-1981,384.519457,13.17692308,68,7,30,5.964226244,39,121.0057919,0.626930769,7.8,59.07979823,Poor
29,Arakkonam,Sayanavaram,"12°58'50""","79°39'00""",01-07-1981,384.519457,13.17692308,108,39,239,5.964226244,330,121.0057919,0.626930769,7.4,59.62051381,Poor
30,Arakkonam,Reddivalam,"12°56'12""","79°35'35""",01-07-1981,384.519457,13.17692308,132,37,92,5.964226244,230,121.0057919,0.626930769,7.9,62.48814741,Poor
31,Arakkonam,Karivedu,"12°53'27""","79°30'50""",01-07-1981,384.519457,13.17692308,64,10,85,5.964226244,78,121.0057919,0.626930769,7.7,58.72554385,Poor
32,Arcot,Maruthampadi,"12°48'00""","79°17'00""",01-08-1981,384.519457,13.17692308,54,51,71,5.964226244,110,121.0057919,0.626930769,8.4,64.99519485,Poor
33,Arcot,Kaniyanur,"12°48'00""","79°21'25""",01-08-1981,384.519457,13.17692308,58.75113122,75,223,5.964226244,189.0329095,121.0057919,0.626930769,7.6,61.81945012,Poor
34,Arcot,Maruthampadi,"12°48'00""","79°17'00""",01-12-1981,384.519457,13.17692308,92,43,101,5.964226244,138,121.0057919,0.626930769,8.3,64.58901709,Poor
35,Vellore,Pennathur,"12°50'40""","79°06'40""",01-12-1981,384.519457,13.17692308,108,83,46,5.964226244,259,121.0057919,0.626930769,7.3,60.82819458,Poor
36,Walajahpet,Lalapet,"12°58'00""","79°03'00""",01-12-1981,384.519457,13.17692308,58.75113122,124,329,5.964226244,189.0329095,121.0057919,0.626930769,7.7,65.17591913,Poor
