,S.No.,Station_name,District/RO,Monitoring_date,pH,TA,Cl,Ca,Mg,Sulphate,Na,TDS,K,F,wqi,quality
0,1,"Upstream of river Krishna at
Prakasam barrage","Krishna /
Vijayawada",09.07.2018,7.21,88.0,24.0,21.0,6.0,24.0,30.0,170.0,2.4,0.16,16.237451930592467,Excellent
1,2,"Upstream of Pennar river at
Somasila","Nellore /
Nellore",06.07.2018,8.21,182.0,185.0,35.0,92.0,130.0,56.0,660.0,10.8,0.74,77.0584075868897,Very poor
2,3,"Puligadda aqueduct near
Avanigadda (V)","Krishna /
Vijayawada",31.07.2018,7.18,122.0,9420.0,56.0,175.0,1080.0,5620.0,19920.0,136.0,0.62,163.4158668125684,Not suitable
3,4,River Krishna at Amaravathi,"Krishna /
Vijayawada",09.07.2018,7.87,112.0,40.0,27.0,13.0,36.0,28.0,228.0,3.0,0.22,25.886396748475846,Good
4,5,"Downstream of Krishna river at
Vedadri","Krishna /
Vijayawada",09.07.2018,7.83,176.0,141.0,36.0,37.0,74.0,90.0,510.0,5.8,0.78,73.24370277734354,Poor
5,6,"2nd Causeway, Pulicot lake","Nellore /
Nellore",04.07.2018,7.5,174.0,13800.0,420.0,980.0,2600.0,7600.0,26900.0,64.0,0.8,184.53730915533325,Not suitable
6,7,"Budameru canal near BDG at
NH-5, Keesarapalli","Krishna /
Vijayawada",31.07.2018,7.24,162.0,92.0,40.0,21.0,18.0,52.0,365.0,4.0,0.52,47.092079620655525,Good
7,8,"Guntatippa drain B/C with
Ryves canal at Ramavarapadu,
Vijayawada","Krishna /
Vijayawada",31.07.2018,7.29,298.0,220.0,74.0,43.0,58.0,96.0,756.0,14.0,0.92,86.71234745453599,Very poor
8,9,"Downstream of Paleru river at
Jaggaiahpet","Krishna/
Vijayawada",09.07.2018,7.86,250.0,165.0,51.0,49.0,74.0,104.0,648.0,4.2,0.58,57.445780834766296,Poor
9,10,"Down stream of Munneru River
at keesara","Krishna/
Vijayawada",09.07.2018,8.03,194.0,120.0,35.0,18.0,80.0,110.0,520.0,4.8,0.62,60.62437600958782,Poor
10,11,"D/s of River krishna after
Confluence with treated
Sewage dischsrging from 10","Krishna/
Vijayawada",,7.444242424242424,200.32258064516128,1004.483870967742,166.6451612903226,154.1290322580645,204.25806451612902,562.1612903225806,2194.181818181818,15.947096774193549,0.6148387096774195,71.66317935108574,Poor
11,12,"River Pennar at Siddavatam ,
YSR District","Kadapa/Tiru
pathi",10.07.2018,6.7,428.0,352.0,297.0,288.0,202.0,250.0,1322.0,36.0,0.9,105.68110364233235,Not suitable
12,13,"River Thungabhadra at
Bhavapuram","Kurnool /
Kurnool",09.07.2018,8.0,169.0,157.0,98.0,85.0,174.0,171.0,688.0,6.0,0.9,86.74610181856079,Very poor
13,14,"River Krishna at
Sangameswaram","Kurnool /
Kurnool",11.07.2018,7.5,268.0,240.0,130.0,179.0,187.0,217.0,941.0,7.0,0.3,40.2817013183263,Good
14,15,River Pennar at Unganoor,"Ananthapur
/ Kurnool",09.07.2018,7.3,218.0,83.0,41.0,44.0,43.0,141.0,441.0,4.0,1.2,102.76145849617008,Not suitable
15,16,"River Pennar at Pushpagiri
,YSR Kadapa District","Kadapa /
Tirupathi",10.07.2018,6.9,523.0,414.0,317.0,305.0,225.0,302.0,1588.0,60.0,1.1,137.47597988640513,Not suitable
