,S.No.,Station_name,District/RO,Monitoring_date,pH,TA,Cl,Ca,Mg,Sulphate,Na,TDS,K,F,wqi,quality
0,1,"Upstream of river Krishna at
Prakasam barrage","Krishna /
Vijayawada",05.01.2018,7.45,120.0,210.0,36.0,12.0,35.0,120.0,520.0,4.0,0.68,61.090928039185044,Poor
1,2,"Upstream of Pennar river at
Somasila","Nellore /
Nellore",08.01.2018,7.68,150.0,210.0,40.0,19.0,40.0,110.0,580.0,3.0,0.78,70.29324162367777,Poor
2,3,"Puligadda aqueduct near
Avanigadda (V)","Krishna /
Vijayawada",23.01.2018,7.57,260.0,8400.0,1520.0,768.0,1650.0,3600.0,20400.0,400.0,1.15,389.7594184774113,Not suitable
3,4,River Krishna at Amaravathi,"Krishna /
Vijayawada",08.01.2018,7.71,210.0,140.0,56.0,19.0,55.0,80.0,520.0,3.0,0.68,62.70561721640353,Poor
4,5,"Downstream of Krishna river at
Vedadri","Krishna /
Vijayawada",08.01.2018,7.62,160.0,260.0,48.0,21.0,65.0,140.0,710.0,3.0,0.71,64.73134281694544,Poor
5,6,"2nd Causeway, Pulicot lake","Nellore /
Nellore",08.01.2018,7.64,240.0,2100.0,360.0,120.0,710.0,1200.0,5600.0,56.0,0.88,122.33342712729926,Not suitable
6,7,"Budameru canal near BDG at
NH-5, Keesarapalli","Krishna /
Vijayawada",03.01.2018,7.8,170.0,280.0,64.0,24.0,65.0,130.0,780.0,4.0,0.85,77.9422750247512,Very poor
7,8,"Guntatippa drain B/C with
Ryves canal at
Ramavarapadu, Vijayawada","Krishna /
Vijayawada",03.01.2018,6.97,410.0,340.0,112.0,43.0,80.0,170.0,1150.0,6.0,0.78,70.33685581783128,Poor
8,9,"Downstream of Paleru river at
Jaggaiahpet","Krishna/
Vijayawada",05.01.2018,7.76,280.0,320.0,72.0,33.0,80.0,180.0,920.0,4.0,0.72,68.16202386535356,Poor
9,10,"Down stream of Munneru River
at keesara","Krishna/
Vijayawada",,7.591818181818183,239.61290322580646,500.5806451612903,202.83870967741936,111.7741935483871,148.1290322580645,261.51612903225805,1439.7575757575758,21.193548387096776,0.6416129032258063,75.31161615346636,Very poor
