,S.No.,Station_name,District/RO,Monitoring_date,pH,TA,Cl,Ca,Mg,Sulphate,Na,TDS,K,F,wqi,quality
0,1,"Upstream of river Krishna at Prakasam
barrage","Krishna /
Vijayawada",18.09.2018,7.9,130.0,69.0,32.0,23.0,36.0,30.0,320.0,4.26,0.24,28.862034286905324,Good
1,2,Upstream of Pennar river at Somasila,"Nellore /
Nellore",04.09.2018,7.54,160.0,128.0,44.0,35.0,94.0,68.0,550.0,10.32,0.53,53.99716325360846,Poor
2,3,"Puligadda aqueduct near Avanigadda
(V)","Krishna /
Vijayawada",19.09.2018,8.09,146.0,11200.0,384.0,950.0,1350.0,4980.0,22900.0,140.0,0.7,209.39969256422282,Not suitable
3,4,River Krishna at Amaravathi,"Krishna /
Vijayawada",10.09.2018,8.1,120.0,45.0,34.0,12.0,32.0,28.0,258.0,3.8,0.2,26.267100203220256,Good
4,5,Downstream of Krishna river at Vedadri,"Krishna /
Vijayawada",18.09.2018,8.14,198.0,158.0,43.0,22.0,92.0,96.0,540.0,8.0,0.92,87.29249648272628,Very poor
5,6,"2nd Causeway, Pulicot lake","Nellore /
Nellore",04.09.2018,7.63,154.0,12400.0,420.0,1072.0,2100.0,7400.0,27100.0,82.0,0.76,192.26233651190662,Not suitable
6,7,"Budameru canal near BDG at NH-5,
Keesarapalli","Krishna /
Vijayawada",17.09.2018,7.54,238.0,120.0,72.0,42.0,32.0,40.0,490.0,7.2,0.52,52.08385493199938,Poor
7,8,"Guntatippa drain B/C with Ryves canal
at Ramavarapadu, Vijayawada","Krishna /
Vijayawada",17.09.2018,7.55,340.0,284.0,76.0,48.0,82.0,138.0,980.0,22.0,1.11,108.4538992235944,Not suitable
8,9,"Downstream of Paleru river at
Jaggaiahpet","Krishna/
Vijayawada",18.09.2018,8.01,236.0,145.0,56.0,37.0,63.0,92.0,615.0,3.9,0.46,48.23694127455579,Good
9,10,"Downstream of Munneru river at
Keesara","Krishna/
Vijayawada",18.09.2018,7.24,208.0,120.0,37.0,20.0,94.0,112.0,550.0,5.26,0.7,62.46866864676151,Poor
10,11,"D/s of River krishna after Confluence
with treated Sewage dischsrging from
10 MLD STP locatedat","Krishna/
Vijayawada",,7.5645454545454545,153.29032258064515,836.9677419354839,90.64516129032258,105.41935483870968,151.14838709677414,451.11419354838716,1878.5757575757575,11.205806451612903,0.4193548387096774,50.87783958985539,Poor
11,12,"River Pennar at Siddavatam YSR
District","Kadapa/Tiru
pathi",07.09.2018,7.52,106.0,37.0,88.0,35.0,33.0,34.0,224.0,2.4,0.3,31.30089521129696,Good
12,13,River Thungabhadra at Bhavapuram,"Kurnool /
Kurnool",07.09.2019,6.16,89.0,42.0,60.0,44.0,43.0,46.0,227.0,2.0,0.7,54.36568130894691,Poor
13,14,River Krishna at Sangameswaram,"Kurnool /
Kurnool",08.09.2018,7.0,127.0,49.0,88.0,56.0,60.0,58.0,317.0,3.0,0.8,69.08277890677923,Poor
14,15,River Pennar at Unganoor,"Ananthapur
/ Kurnool",14.09.2018,7.34,386.0,255.0,81.0,105.0,160.0,342.0,1106.0,6.2,1.2,108.05799176697411,Not suitable
15,16,River Pennar at Pushpagiri,"Kadapa /
Tirupathi",07.08.2018,7.36,106.0,35.0,92.0,19.0,32.0,38.0,219.0,2.3,0.3,29.794067010577876,Good
16,17,River Thungabhadra at Manthralayam,"Kurnool/Kur
nool",06.09.2018,8.14,79.0,31.0,55.0,20.0,30.0,38.0,177.0,2.1,0.4,41.965727163774694,Good
17,18,River Hundri at Laxmipuram village,"Kurnool/Kur
nool",07.09.2018,6.47,106.0,38.0,72.0,36.0,30.0,40.0,226.0,3.0,0.3,24.8826668750977,Excellent
18,19,River Kundu at Nandyal,"Kurnool/Kur
nool",05.09.2018,8.21,96.0,30.0,65.0,30.0,24.0,30.0,179.0,2.6,0.2,27.2055598978688,Good
19,20,D/s. of Srishailam,"Kurnool/Kur
nool",06.09.2018,7.98,79.0,25.0,59.0,22.0,16.0,26.0,155.0,1.8,0.4,40.86319264238446,Good
20,21,River Godavari at Polavaram,"West
Godavari /
Eluru",22.09.2018,7.21,96.0,10.0,64.0,40.0,35.67,3.56,176.0,1.38,0.4,36.462601823771564,Good
21,22,"U/s of River Godavari at Rajahmundry
(Kumaradevam)","West
Godavari /
Eluru",22.09.2018,7.32,92.0,10.0,52.0,40.0,27.44,3.54,156.0,1.28,0.28,27.333106987650467,Good
22,23,(Dhavaleswaram),Godavari /,11.09.2018,7.48,136.0,25.0,68.0,52.0,19.25,8.43,212.0,1.96,0.11,15.89026770361107,Excellent
23,24,"River Nagavali at Thotapally
Regulatory","Vizianagara
m /
Vizianagara",14.09.2018,7.6,80.0,35.0,48.0,24.0,18.4,19.0,182.0,4.9,0.04,11.4227670262102,Excellent
24,25,"River Vamsadhara at Gara,
Kalingapatnam","Vizianagara
m",07.09.2018,8.01,160.0,39.0,80.0,60.0,15.53,12.0,256.0,3.06,0.1,19.52337629096973,Excellent
25,26,"Kondakarla-Ava Lake, Kondakarla","Visakhapatn
am",04.09.2018,7.96,268.0,191.0,152.0,68.0,22.04,108.22,656.0,7.39,0.32,41.15987203376583,Good
26,27,"Tulje bagh canal, Tekri drain",Kakinada,11.09.2018,7.56,176.0,176.0,132.0,92.0,30.58,81.61,564.0,3.09,0.22,28.51344853837736,Good
27,28,"River Godavari at Rajahmundry U/s of
Nalla channel","East
Godavari /
Kakinada",11.09.2018,7.5,108.0,24.0,60.0,40.0,21.0,9.49,188.0,2.45,0.06,11.743911338648324,Excellent
28,29,Nalla channel,Godavari /,11.09.2018,7.41,104.0,24.0,60.0,40.0,27.01,10.78,192.0,2.74,0.26,27.290219363243192,Good
29,30,Tulia bagh drain at Vemulavada,East,11.09.2018,7.44,188.0,152.0,116.0,104.0,43.78,74.93,552.0,3.16,0.26,31.139753368766613,Good
30,31,"Outlet of STP on river Godavari at
Rajahmundry","East
Godavari",11.09.2018,7.52,124.0,20.0,60.0,40.0,11.86,7.2,180.0,1.66,0.17,20.209339419519566,Excellent
31,32,Samarla kota canal,Kakinada,11.09.2018,7.65,116.0,29.0,60.0,40.0,10.04,9.78,186.0,2.17,0.04,10.940615611484553,Excellent
32,33,Inlet of STP at Rajahmundry,"East
Godavari",11.09.2018,7.49,153.29032258064515,836.9677419354839,90.64516129032258,105.41935483870968,151.14838709677414,451.11419354838716,820.0,11.205806451612903,0.4193548387096774,50.07413273863252,Poor
33,34,Outlet of STP at Rajahmundry,"East
Godavari",11.09.2018,7.56,153.29032258064515,836.9677419354839,90.64516129032258,105.41935483870968,151.14838709677414,451.11419354838716,540.0,11.205806451612903,0.4193548387096774,50.422546057375676,Poor
