,vellore,Latitude,Longitude,Date,TDS,Nitrates,Ca,Mg,Na,K,Cl,SO4,F,pH,wqi,quality
0,,"12°56'40""","78°52'10""",01-01-2010,384.519457,13.17692308,52,37,143,5.964226244,170,121.0057919,0.626930769,8,62.01655321,Poor
1,,"12°58'05""","79°12'25""",02-01-2010,384.519457,13.17692308,58.75113122,78,186.7503982,5.964226244,189.0329095,121.0057919,0.626930769,7.4,60.68461358,Poor
2,,"13°06'17""","79°29'45""",03-01-2010,384.519457,13.17692308,184,73,239,5.964226244,189.0329095,121.0057919,0.626930769,7.4,62.25859723,Poor
3,,"12°53'20""","78°46'00""",04-01-2010,384.519457,13.17692308,58,21,60,5.964226244,39,121.0057919,0.626930769,8.1,61.55555279,Poor
4,,"12°59'45""","78°54'40""",05-01-2010,384.519457,13.17692308,40,38,115,5.964226244,46,121.0057919,0.626930769,8,61.69376249,Poor
5,,"13°01'50""","78°10'48""",06-01-2010,384.519457,13.17692308,50,34,127,5.964226244,121,121.0057919,0.626930769,7.9,61.13133937,Poor
6,,"12°55'05""","79°03'00""",07-01-2010,384.519457,13.17692308,124,86,265,5.964226244,482,121.0057919,0.626930769,7.4,62.51814721,Poor
7,,"13°06'25""","79°25'25""",08-01-2010,384.519457,13.17692308,102,22,122,5.964226244,152,121.0057919,0.626930769,7.7,60.03707339,Poor
8,,"12°57'30""","79°17'00""",09-01-2010,384.519457,13.17692308,66,22,92,5.964226244,64,121.0057919,0.626930769,7.6,58.76158315,Poor
9,,"12°45'25""","79°18'35""",10-01-2010,384.519457,13.17692308,66,38,74,5.964226244,121,121.0057919,0.626930769,8.2,63.28673131,Poor
10,,"12°52'35""","79°15'45""",11-01-2010,384.519457,13.17692308,106,32,28,5.964226244,50,121.0057919,0.626930769,7.9,61.52105412,Poor
11,,"12°48'40""","79°14'15""",12-01-2010,384.519457,13.17692308,76,41,131,5.964226244,89,121.0057919,0.626930769,7.9,61.82168084,Poor
12,,"12°58'00""","79°03'00""",13-01-2010,384.519457,13.17692308,58.75113122,92,281,5.964226244,189.0329095,121.0057919,0.626930769,7.6,62.81358954,Poor
13,,"12°29'00""","78°34'20""",14-01-2010,384.519457,13.17692308,74,7,113,5.964226244,110,121.0057919,0.626930769,7.6,58.19256903,Poor
14,,"12°47'35""","78°53'00""",15-01-2010,484,13.17692308,64,51,53,5.964226244,53,121.0057919,0.626930769,7.5,59.56894069,Poor
15,,"12°56'33""","79°11'49""",16-01-2010,384.519457,13.17692308,46,23,62,5.964226244,78,121.0057919,0.626930769,8,60.93580572,Poor
16,,"12°50'38""","78°55'49""",17-01-2010,384.519457,13.17692308,50,57,193,5.964226244,174,121.0057919,0.626930769,8.4,65.56779496,Poor
17,,"12°46'43""","78°56'11""",18-01-2010,384.519457,13.17692308,64,40,127,5.964226244,82,121.0057919,0.626930769,7.8,60.97749416,Poor
18,,"12°47'26""","79°05'09""",19-01-2010,384.519457,13.17692308,64,57,51,5.964226244,57,121.0057919,0.626930769,7.6,60.46010555,Poor
19,,"12°45'15""","79°09'18""",20-01-2010,384.519457,13.17692308,66,90,145,5.964226244,238,121.0057919,0.626930769,7.7,63.21658269,Poor
20,,"12°42'17""","78°48'58""",21-01-2010,530,13.17692308,58,71,60,5.964226244,60,121.0057919,0.626930769,7.7,61.7794252,Poor
21,,"13°07'50""","79°15'35""",22-01-2010,384.519457,13.17692308,160,85,248,5.964226244,189.0329095,121.0057919,0.626930769,7.3,61.95648223,Poor
22,,"12°59'40""","79°25'28""",23-01-2010,384.519457,13.17692308,100,39,92,5.964226244,156,121.0057919,0.626930769,7.5,59.617552,Poor
23,,"12°54'10""","79°26'30""",24-01-2010,384.519457,13.17692308,58.75113122,85,221,5.964226244,189.0329095,121.0057919,0.626930769,7.3,60.50417295,Poor
24,,"13°05'02""","79°43'10""",25-01-2010,384.519457,13.17692308,106,39,246,5.964226244,390,121.0057919,0.626930769,7.6,60.90102647,Poor
25,,"13°02'23""","79°40'06""",26-01-2010,384.519457,13.17692308,64,15,133,5.964226244,96,121.0057919,0.626930769,7.7,59.10049124,Poor
26,,"13°08'56""","79°42'17""",27-01-2010,384.519457,13.17692308,38,17,166,5.964226244,60,121.0057919,0.626930769,8.3,62.52377347,Poor
27,,"13°08'29""","79°36'40""",28-01-2010,384.519457,13.17692308,54,33,62,5.964226244,106,121.0057919,0.626930769,8.3,63.4295507,Poor
28,,"13°11'19""","79°39'18""",29-01-2010,384.519457,13.17692308,68,7,30,5.964226244,39,121.0057919,0.626930769,7.8,59.07979823,Poor
